List of files ,Subject
66-J/2019-20/Pr.CCIT/Tech,Central Action Plan for 11-12-(CITA) matters & Statistical matters
66-K/2019-20/Pr.CCIT/Tech,CIT(A) Matters - central action plan
66-L/2019-20/Pr.CCIT/Tech,CIT(A) MATTERS - EARLY HEARING
67/2019-20/Pr.CCIT/Tech,correspondence related to centralization
67-A/2019-20/Pr.CCIT/Tech,Transfer Notification u/s 127received from CIT-I & CIT-II-centralization
67-B/2019-20/Pr.CCIT/Tech,Transfer Notification u/s 127received from CIT-I & CIT-II- other than centralization
67-C/2019-20/Pr.CCIT/Tech,Transfer Notification u/s 127 received from the offices other than cIT-I & CIT-II
67-D/2019-20/Pr.CCIT/Tech,dit-intelligence meeting 
68/2019-20/Pr.CCIT/Tech,CIB - General Correspondence
68A/2019-20/Pr.CCIT/Tech,Result of Enquiry on information under Automatic Exchange of information(AEOI) mechanism
69/2019-20/Pr.CCIT/Tech,issues relating to software
70/2019-20/Pr.CCIT/Tech,result framework document for it dept.-Mathew
71A/2019-20/Pr.CCIT/Tech,"note sumitted by cc-hubli to miss. Poonam saxena, member cbdt"
72/2019-20/Pr.CCIT/Tech,monthly report on uploading data u/s 80g on website
73/2019-20/Pr.CCIT/Tech,119(2) c Chapter IV & VI(A)
74/2019-20/Pr.CCIT/Tech,compilation of orders of ITAT
76/2019-20/Pr.CCIT/Tech,QUARTERLY REPORT ON APPEAL/WRIT
77/2019-20/Pr.CCIT/Tech,central action plan -information technology
78/2019-20/Pr.CCIT/Tech,sec 228 (insult)
68-A/2019-20/Pr.CCIT/Tech,CIB- Calling for Information
81/2019-20/Pr.CCIT/Tech,TDS MATTERS
81(1)/2019-20/Pr.CCIT/Tech,KUIDFC - TDS Matters 194A(3)(iii)
81A/2019-20/Pr.CCIT/Tech,TDS MATTERS -Standing committee
81B/2019-20/Pr.CCIT/Tech,tds matters (Misc.)
82/2019-20/Pr.CCIT/Tech,Mutual Agreement Procedure (map)
83/2019-20/Pr.CCIT/Tech,Foreign Investment Promotion Board
83-A/2019-20/Pr.CCIT/Tech,Forewx Derivative Losses
83-B/2019-20/Pr.CCIT/Tech,CLAIM OF FOREIGN TAX CREDIT
84/2019-20/Pr.CCIT/Tech,VIP references
85/2019-20/Pr.CCIT/Tech,TDS Clearance Drive
86/2019-20/Pr.CCIT/Tech,BIFR Correspondence
87/2019-20/Pr.CCIT/Tech,Approval of Hospitals u/s 17(2)
